Entity,Code,year,Day,Training compute (petaFLOP),Domain
Taiyi-Stable Diffusion,,2022,2022-10-31,51000000,Drawing
Theseus,,1950,1950-07-02,4e-14,Other
TransE,,2013,2013-12-05,1340,Other
Transformer,,2017,2017-06-12,7420,Language
Transformer local-attention (NesT-B),,2021,2021-05-26,24100,Vision
Unsupervised High-level Feature Learner,,2012,2012-07-12,600,Vision
VGG16,,2014,2014-09-04,9250,Vision
ViT-H/14,,2020,2020-09-28,12800000,Vision
Visualizing CNNs,,2013,2013-11-12,532,Vision
Whisper,,2022,2022-09-21,46500000,Speech
Word2Vec (large),,2013,2013-10-16,38.9,Language
YOLOv3,,2018,2018-04-08,50900,Vision
Zip CNN,,1989,1989-12-01,0.0000434,Vision
wave2vec 2.0 LARGE,,2020,2020-10-22,1900000,Speech
